CONTRACT_ID;COLL_STATUS;INSTALLATION_DATE;VOICE_SERVICE_NAME;NET_SERVICE_NAME;SEGMENT_GROUP
40;0;2021-08-05;Lakossági Hang XS;Net 5GB;LAK
41;0;2010-05-05;Lakossági Hang XS;Net 5GB;LAK
42;0;2013-12-05;Lakossági Hang XS;Net 5GB;LAK
43;0;2010-12-03;Lakossági Hang M;Net 3GB;LAK
44;0;2016-12-25;Üzleti Hang S;Vállalkozók Netje;ENT
45;0;2016-10-13;Üzleti Hang S;ÜzlNet Korlátlan;ENT
46;0;2013-07-14;Üzleti Hang XL;ÜzlNet Korlátlan;ENT
47;0;2011-06-20;Lakossági Hang XS;Net 3GB;LAK
48;0;2016-02-19;Lakossági Hang Korlátlan;Net 3GB;LAK
49;0;2018-07-25;Lakossági Hang Korlátlan;Net 5GB;LAK
50;0;2014-01-07;Lakossági Hang M;Net 3GB;LAK
51;0;2010-09-28;Lakossági Hang XS;Net 3GB;LAK
52;0;2019-02-10;Üzleti Hang M;ÜzlNet Korlátlan;ENT
53;0;2013-09-16;Lakossági Hang M;Net 3GB;LAK
54;0;2022-04-27;Lakossági Hang M;Net 3GB;LAK
55;0;2017-03-17;Lakossági Hang XS;Net 5GB;LAK
56;0;2013-05-10;Lakossági Hang XS;Net 3GB;LAK
57;0;2010-04-18;Lakossági Hang XS;Net 3GB;LAK
58;0;2013-09-21;Üzleti Hang S;ÜzlNet Korlátlan;ENT
59;0;2018-01-04;Lakossági Hang M;Net 5GB;LAK
60;0;2019-02-03;Lakossági Hang XS;Korlátlan Net;LAK
61;0;2014-03-28;Üzleti Hang S;Vállalkozók Netje;ENT
62;0;2014-03-13;Lakossági Hang XS;Net 3GB;LAK
63;0;2018-11-05;Lakossági Hang Korlátlan;Korlátlan Net;LAK
64;0;2018-02-03;Lakossági Hang XS;Korlátlan Net;LAK
65;0;2018-03-18;Lakossági Hang Korlátlan;Korlátlan Net;LAK
66;0;2015-09-16;Lakossági Hang XS;Korlátlan Net;LAK
67;0;2023-06-26;Lakossági Hang M;Net 3GB;LAK
68;0;2013-11-17;Lakossági Hang XS;Korlátlan Net;LAK
69;0;2019-04-07;Lakossági Hang Korlátlan;Net 3GB;LAK
70;0;2015-12-08;Lakossági Hang XS;Net 3GB;LAK
71;0;2010-03-25;Lakossági Hang Korlátlan;Net 3GB;LAK
72;0;2015-06-08;Lakossági Hang Korlátlan;Net 5GB;LAK
73;0;2015-08-05;Lakossági Hang Korlátlan;Net 3GB;LAK
74;0;2018-09-08;Lakossági Hang M;Net 5GB;LAK
75;0;2023-01-18;Üzleti Hang S;ÜzlNet 2GB;ENT
76;0;2022-10-24;Üzleti Hang M;ÜzlNet Korlátlan;ENT
77;0;2012-08-20;Üzleti Hang S;ÜzlNet Korlátlan;ENT
78;0;2012-07-01;Lakossági Hang Korlátlan;Korlátlan Net;LAK
79;0;2021-10-05;Lakossági Hang Korlátlan;Net 3GB;LAK
80;0;2015-04-24;Üzleti Hang S;Vállalkozók Netje;ENT
81;0;2023-05-09;Üzleti Hang S;ÜzlNet 2GB;ENT
82;0;2013-06-08;Lakossági Hang M;Net 5GB;LAK
83;0;2022-07-15;Lakossági Hang Korlátlan;Net 5GB;LAK
84;0;2021-07-01;Lakossági Hang Korlátlan;Net 5GB;LAK
85;0;2011-10-23;Üzleti Hang M;Vállalkozók Netje;ENT
86;0;2019-01-15;Üzleti Hang M;ÜzlNet Korlátlan;ENT
87;0;2010-06-07;Üzleti Hang XL;ÜzlNet 2GB;ENT
88;0;2014-08-15;Üzleti Hang XL;Vállalkozók Netje;ENT
89;0;2017-11-04;Lakossági Hang M;Net 3GB;LAK
90;0;2020-04-17;Lakossági Hang M;Net 5GB;LAK
91;0;2013-02-06;Lakossági Hang M;Net 5GB;LAK
92;0;2010-03-12;Lakossági Hang M;Net 5GB;LAK
93;0;2020-04-28;Lakossági Hang M;Korlátlan Net;LAK
94;0;2015-08-26;Lakossági Hang M;Korlátlan Net;LAK
95;0;2022-09-15;Lakossági Hang XS;Net 3GB;LAK
96;0;2015-10-16;Lakossági Hang XS;Korlátlan Net;LAK
97;0;2012-02-11;Lakossági Hang Korlátlan;Net 5GB;LAK
98;0;2017-03-17;Üzleti Hang XL;ÜzlNet Korlátlan;ENT
99;0;2013-10-21;Lakossági Hang M;Net 5GB;LAK
100;0;2016-12-12;Üzleti Hang S;Vállalkozók Netje;ENT
101;0;2014-03-05;Üzleti Hang S;ÜzlNet Korlátlan;ENT
102;0;2011-07-29;Üzleti Hang M;ÜzlNet Korlátlan;ENT
103;0;2012-05-18;Lakossági Hang M;Net 5GB;LAK
104;0;2014-01-19;Lakossági Hang XS;Korlátlan Net;LAK
105;0;2022-07-23;Lakossági Hang Korlátlan;Net 3GB;LAK
106;0;2017-01-23;Lakossági Hang XS;Net 3GB;LAK
107;0;2015-06-26;Lakossági Hang Korlátlan;Net 5GB;LAK
108;1;2010-07-04;Lakossági Hang XS;Net 3GB;LAK
109;0;2016-07-19;Lakossági Hang XS;Net 5GB;LAK
110;0;2017-02-05;Lakossági Hang XS;Net 5GB;LAK
111;0;2014-10-24;Lakossági Hang M;Korlátlan Net;LAK
112;1;2018-11-27;Lakossági Hang Korlátlan;Korlátlan Net;LAK
113;0;2019-02-05;Lakossági Hang Korlátlan;Korlátlan Net;LAK
114;0;2016-07-21;Lakossági Hang XS;Net 5GB;LAK
115;0;2010-03-13;Lakossági Hang Korlátlan;Net 5GB;LAK
116;0;2022-02-06;Lakossági Hang M;Net 3GB;LAK
117;0;2022-11-01;Lakossági Hang M;Korlátlan Net;LAK
118;0;2022-05-08;Üzleti Hang M;ÜzlNet Korlátlan;ENT
119;0;2013-02-19;Lakossági Hang XS;Korlátlan Net;LAK
120;0;2017-05-08;Üzleti Hang M;ÜzlNet Korlátlan;ENT
121;0;2015-06-27;Üzleti Hang S;ÜzlNet 2GB;ENT
122;0;2021-02-03;Lakossági Hang M;Net 5GB;LAK
123;0;2017-03-18;Lakossági Hang M;Korlátlan Net;LAK
124;0;2021-01-08;Lakossági Hang XS;Net 5GB;LAK
125;0;2012-11-12;Lakossági Hang XS;Korlátlan Net;LAK
126;0;2022-12-16;Lakossági Hang XS;Net 5GB;LAK
127;0;2014-06-18;Lakossági Hang Korlátlan;Net 5GB;LAK
128;0;2017-03-03;Lakossági Hang XS;Net 3GB;LAK
129;0;2021-08-06;Lakossági Hang M;Korlátlan Net;LAK
130;0;2020-01-03;Lakossági Hang M;Korlátlan Net;LAK
131;0;2021-08-23;Lakossági Hang M;Net 5GB;LAK
132;0;2018-07-21;Lakossági Hang XS;Net 3GB;LAK
133;0;2022-02-12;Lakossági Hang Korlátlan;Net 5GB;LAK
134;0;2011-05-26;Lakossági Hang XS;Net 5GB;LAK
135;0;2012-11-24;Lakossági Hang Korlátlan;Net 5GB;LAK
136;0;2018-05-11;Lakossági Hang Korlátlan;Net 5GB;LAK
137;0;2017-10-16;Üzleti Hang S;ÜzlNet 2GB;ENT
138;0;2017-10-05;Lakossági Hang M;Net 5GB;LAK
139;0;2019-01-03;Lakossági Hang M;Net 3GB;LAK
140;0;2011-10-27;Üzleti Hang S;Vállalkozók Netje;ENT
141;0;2014-01-17;Lakossági Hang M;Korlátlan Net;LAK
142;0;2018-04-23;Lakossági Hang M;Net 3GB;LAK
143;0;2017-12-11;Lakossági Hang Korlátlan;Net 5GB;LAK
144;0;2012-08-20;Lakossági Hang M;Net 5GB;LAK
145;0;2012-08-01;Lakossági Hang Korlátlan;Net 5GB;LAK
146;0;2020-06-13;Üzleti Hang M;ÜzlNet 2GB;ENT
147;1;2010-05-17;Lakossági Hang M;Net 3GB;LAK
148;0;2011-09-23;Üzleti Hang XL;ÜzlNet Korlátlan;ENT
149;0;2019-09-16;Lakossági Hang M;Net 5GB;LAK
150;0;2011-06-27;Lakossági Hang XS;Net 3GB;LAK
151;0;2019-03-17;Lakossági Hang M;Korlátlan Net;LAK
152;0;2018-12-27;Lakossági Hang Korlátlan;Korlátlan Net;LAK
153;0;2016-12-03;Lakossági Hang XS;Korlátlan Net;LAK
154;0;2021-07-24;Lakossági Hang M;Net 3GB;LAK
155;0;2013-05-12;Lakossági Hang XS;Net 5GB;LAK
156;0;2016-07-28;Lakossági Hang XS;Korlátlan Net;LAK
157;0;2021-12-10;Üzleti Hang M;Vállalkozók Netje;ENT
158;0;2016-08-01;Lakossági Hang M;Net 3GB;LAK
159;0;2016-04-25;Lakossági Hang Korlátlan;Korlátlan Net;LAK
160;0;2018-12-14;Lakossági Hang XS;Korlátlan Net;LAK
161;0;2014-11-30;Lakossági Hang XS;Net 3GB;LAK
162;0;2011-11-01;Lakossági Hang Korlátlan;Net 3GB;LAK
163;0;2021-12-28;Lakossági Hang Korlátlan;Net 5GB;LAK
164;0;2010-07-07;Lakossági Hang XS;Net 3GB;LAK
165;0;2020-02-02;Üzleti Hang XL;ÜzlNet 2GB;ENT
166;0;2021-07-07;Lakossági Hang XS;Net 5GB;LAK
167;0;2018-12-03;Lakossági Hang XS;Net 5GB;LAK
168;0;2015-03-19;Lakossági Hang M;Net 3GB;LAK
169;0;2021-12-12;Lakossági Hang M;Net 3GB;LAK
170;0;2010-12-23;Lakossági Hang Korlátlan;Korlátlan Net;LAK
171;0;2017-03-23;Lakossági Hang Korlátlan;Korlátlan Net;LAK
172;0;2015-11-15;Üzleti Hang XL;ÜzlNet Korlátlan;ENT
173;0;2010-11-16;Lakossági Hang Korlátlan;Korlátlan Net;LAK
174;0;2012-01-08;Lakossági Hang M;Korlátlan Net;LAK
175;0;2010-03-26;Lakossági Hang Korlátlan;Net 3GB;LAK
176;0;2018-05-06;Üzleti Hang XL;ÜzlNet Korlátlan;ENT
177;0;2012-05-14;Lakossági Hang XS;Korlátlan Net;LAK
178;0;2021-05-14;Üzleti Hang S;ÜzlNet 2GB;ENT
179;0;2015-11-17;Lakossági Hang Korlátlan;Net 3GB;LAK
180;0;2015-12-26;Üzleti Hang XL;ÜzlNet Korlátlan;ENT
181;0;2014-10-23;Üzleti Hang XL;Vállalkozók Netje;ENT
182;0;2021-10-16;Üzleti Hang S;Vállalkozók Netje;ENT
183;0;2022-10-30;Lakossági Hang M;Korlátlan Net;LAK
184;0;2023-02-22;Lakossági Hang Korlátlan;Net 5GB;LAK
185;0;2014-06-27;Üzleti Hang M;Vállalkozók Netje;ENT
186;0;2016-01-31;Üzleti Hang M;ÜzlNet Korlátlan;ENT
187;0;2019-10-27;Üzleti Hang XL;Vállalkozók Netje;ENT
188;0;2013-10-24;Üzleti Hang XL;Vállalkozók Netje;ENT
189;0;2017-01-14;Üzleti Hang S;ÜzlNet Korlátlan;ENT
190;0;2010-03-01;Üzleti Hang M;ÜzlNet 2GB;ENT
191;0;2013-08-11;Üzleti Hang XL;ÜzlNet 2GB;ENT
192;0;2018-07-12;Üzleti Hang XL;ÜzlNet Korlátlan;ENT
193;0;2014-03-10;Lakossági Hang M;Korlátlan Net;LAK
194;0;2014-02-13;Üzleti Hang XL;ÜzlNet Korlátlan;ENT
195;0;2015-07-19;Üzleti Hang S;ÜzlNet Korlátlan;ENT
196;0;2019-12-27;Üzleti Hang XL;Vállalkozók Netje;ENT
197;0;2013-10-26;Üzleti Hang XL;ÜzlNet Korlátlan;ENT
198;0;2021-12-07;Üzleti Hang M;ÜzlNet Korlátlan;ENT
199;0;2019-10-03;Lakossági Hang XS;Korlátlan Net;LAK
200;0;2018-08-15;Üzleti Hang M;Vállalkozók Netje;ENT
201;0;2017-07-19;Üzleti Hang XL;ÜzlNet Korlátlan;ENT
202;0;2011-07-23;Üzleti Hang S;ÜzlNet 2GB;ENT
203;0;2021-07-09;Üzleti Hang S;ÜzlNet Korlátlan;ENT
204;0;2015-02-24;Lakossági Hang Korlátlan;Korlátlan Net;LAK
205;0;2021-01-22;Lakossági Hang M;Net 5GB;LAK
206;0;2011-01-31;Üzleti Hang XL;ÜzlNet Korlátlan;ENT
207;0;2022-03-31;Üzleti Hang S;ÜzlNet Korlátlan;ENT
208;0;2019-10-27;Lakossági Hang M;Net 3GB;LAK
209;0;2012-04-02;Lakossági Hang Korlátlan;Net 5GB;LAK
210;0;2015-01-03;Üzleti Hang XL;Vállalkozók Netje;ENT
211;0;2010-06-19;Lakossági Hang Korlátlan;Korlátlan Net;LAK
212;0;2012-04-25;Üzleti Hang M;ÜzlNet 2GB;ENT
213;0;2015-02-12;Üzleti Hang S;Vállalkozók Netje;ENT
214;0;2022-05-09;Lakossági Hang Korlátlan;Net 5GB;LAK
215;0;2021-10-24;Üzleti Hang XL;ÜzlNet Korlátlan;ENT
216;0;2013-06-28;Lakossági Hang M;Net 5GB;LAK
217;0;2013-02-14;Üzleti Hang S;ÜzlNet 2GB;ENT
218;0;2020-03-15;Üzleti Hang S;Vállalkozók Netje;ENT
219;0;2011-05-19;Üzleti Hang S;Vállalkozók Netje;ENT
220;0;2013-06-03;Üzleti Hang M;ÜzlNet 2GB;ENT
221;0;2020-04-08;Üzleti Hang M;ÜzlNet Korlátlan;ENT
222;0;2020-05-22;Üzleti Hang M;Vállalkozók Netje;ENT
223;0;2022-02-08;Üzleti Hang M;ÜzlNet 2GB;ENT
224;0;2012-03-18;Üzleti Hang S;ÜzlNet 2GB;ENT
225;0;2018-06-06;Üzleti Hang M;ÜzlNet Korlátlan;ENT
226;0;2017-05-25;Lakossági Hang M;Net 3GB;LAK
227;0;2016-09-01;Lakossági Hang XS;Net 3GB;LAK
228;0;2012-06-09;Lakossági Hang XS;Net 3GB;LAK
229;1;2013-07-12;Lakossági Hang Korlátlan;Korlátlan Net;LAK
230;0;2017-05-08;Lakossági Hang Korlátlan;Net 5GB;LAK
231;0;2022-09-06;Lakossági Hang XS;Korlátlan Net;LAK
232;0;2015-01-14;Üzleti Hang S;ÜzlNet Korlátlan;ENT
233;0;2017-06-12;Lakossági Hang M;Korlátlan Net;LAK
234;0;2016-03-29;Lakossági Hang XS;Net 3GB;LAK
235;0;2010-12-06;Lakossági Hang XS;Net 5GB;LAK
236;0;2017-03-10;Lakossági Hang Korlátlan;Korlátlan Net;LAK
237;0;2019-12-01;Lakossági Hang M;Korlátlan Net;LAK
238;0;2013-05-28;Lakossági Hang Korlátlan;Korlátlan Net;LAK
239;0;2022-03-18;Lakossági Hang Korlátlan;Korlátlan Net;LAK
240;0;2014-08-07;Lakossági Hang Korlátlan;Net 5GB;LAK
241;0;2011-09-02;Lakossági Hang XS;Korlátlan Net;LAK
242;0;2010-06-24;Lakossági Hang XS;Korlátlan Net;LAK
243;0;2011-02-27;Üzleti Hang S;Vállalkozók Netje;ENT
244;0;2021-05-05;Lakossági Hang XS;Net 3GB;LAK
245;0;2015-01-26;Lakossági Hang M;Korlátlan Net;LAK
246;0;2013-12-25;Lakossági Hang XS;Net 3GB;LAK
247;0;2012-01-04;Lakossági Hang XS;Net 3GB;LAK
248;0;2017-04-07;Lakossági Hang M;Korlátlan Net;LAK
249;0;2022-07-30;Lakossági Hang XS;Net 5GB;LAK
250;0;2014-03-22;Lakossági Hang M;Net 3GB;LAK
251;0;2017-01-18;Lakossági Hang Korlátlan;Net 3GB;LAK
252;0;2012-01-12;Lakossági Hang M;Net 5GB;LAK
253;0;2012-11-28;Lakossági Hang M;Net 3GB;LAK
254;0;2017-12-18;Lakossági Hang M;Net 5GB;LAK
255;0;2021-03-12;Lakossági Hang Korlátlan;Korlátlan Net;LAK
256;0;2017-05-21;Lakossági Hang M;Net 3GB;LAK
257;0;2011-01-16;Lakossági Hang M;Net 3GB;LAK
258;0;2014-08-13;Lakossági Hang XS;Net 5GB;LAK
259;0;2019-07-05;Lakossági Hang M;Net 5GB;LAK
260;0;2021-04-16;Lakossági Hang M;Net 3GB;LAK
261;1;2022-07-19;Lakossági Hang M;Korlátlan Net;LAK
262;0;2017-09-27;Lakossági Hang Korlátlan;Korlátlan Net;LAK
263;0;2018-01-07;Lakossági Hang M;Net 5GB;LAK
264;0;2023-03-23;Lakossági Hang Korlátlan;Net 5GB;LAK
265;0;2021-04-06;Lakossági Hang XS;Net 3GB;LAK
266;0;2016-11-02;Lakossági Hang XS;Net 5GB;LAK
267;0;2011-01-25;Lakossági Hang Korlátlan;Korlátlan Net;LAK
268;0;2022-10-28;Lakossági Hang XS;Net 3GB;LAK
269;0;2014-09-24;Lakossági Hang XS;Net 5GB;LAK
270;0;2022-03-18;Lakossági Hang XS;Korlátlan Net;LAK
271;0;2014-01-30;Lakossági Hang M;Net 3GB;LAK
272;0;2014-06-25;Lakossági Hang Korlátlan;Korlátlan Net;LAK
273;0;2020-08-05;Lakossági Hang XS;Net 3GB;LAK
274;0;2020-03-08;Lakossági Hang M;Net 3GB;LAK
275;0;2016-12-28;Lakossági Hang Korlátlan;Net 3GB;LAK
276;0;2012-08-05;Lakossági Hang M;Net 5GB;LAK
277;0;2021-07-15;Lakossági Hang M;Net 3GB;LAK
278;0;2022-12-07;Lakossági Hang M;Korlátlan Net;LAK
279;0;2010-07-22;Lakossági Hang Korlátlan;Korlátlan Net;LAK
280;0;2010-03-20;Lakossági Hang Korlátlan;Net 3GB;LAK
281;0;2017-04-21;Üzleti Hang M;Vállalkozók Netje;ENT
282;1;2010-06-27;Lakossági Hang M;Net 5GB;LAK
283;0;2022-09-16;Lakossági Hang XS;Korlátlan Net;LAK
284;0;2017-03-07;Lakossági Hang Korlátlan;Korlátlan Net;LAK
285;0;2021-09-04;Lakossági Hang XS;Net 5GB;LAK
286;0;2018-09-20;Lakossági Hang M;Net 3GB;LAK
287;0;2012-01-30;Üzleti Hang S;ÜzlNet Korlátlan;ENT
288;0;2011-02-03;Lakossági Hang M;Net 5GB;LAK
289;0;2022-07-19;Lakossági Hang M;Net 3GB;LAK
290;0;2012-07-15;Lakossági Hang Korlátlan;Net 5GB;LAK
291;0;2011-05-31;Lakossági Hang Korlátlan;Korlátlan Net;LAK
292;0;2016-06-02;Üzleti Hang M;ÜzlNet 2GB;ENT
293;0;2022-11-24;Lakossági Hang M;Net 5GB;LAK
294;0;2022-10-18;Üzleti Hang S;ÜzlNet Korlátlan;ENT
295;0;2012-07-25;Lakossági Hang M;Net 5GB;LAK
296;0;2022-04-05;Lakossági Hang Korlátlan;Korlátlan Net;LAK
297;0;2017-02-17;Lakossági Hang Korlátlan;Net 3GB;LAK
298;0;2019-07-10;Lakossági Hang Korlátlan;Net 3GB;LAK
299;0;2011-04-30;Lakossági Hang Korlátlan;Korlátlan Net;LAK
300;0;2011-07-25;Üzleti Hang M;Vállalkozók Netje;ENT
301;0;2019-10-03;Lakossági Hang Korlátlan;Net 3GB;LAK
302;1;2021-02-18;Lakossági Hang M;Net 5GB;LAK
303;0;2016-10-30;Lakossági Hang Korlátlan;Net 3GB;LAK
304;0;2012-07-31;Lakossági Hang M;Korlátlan Net;LAK
305;0;2012-04-21;Üzleti Hang S;ÜzlNet 2GB;ENT
306;0;2018-11-23;Lakossági Hang Korlátlan;Net 3GB;LAK
307;1;2015-11-06;Lakossági Hang M;Net 5GB;LAK
308;0;2014-06-19;Lakossági Hang M;Korlátlan Net;LAK
309;0;2020-03-03;Lakossági Hang M;Korlátlan Net;LAK
310;0;2022-04-11;Lakossági Hang M;Korlátlan Net;LAK
311;0;2019-04-19;Lakossági Hang Korlátlan;Net 5GB;LAK
312;0;2019-12-27;Lakossági Hang M;Korlátlan Net;LAK
313;0;2019-04-08;Lakossági Hang Korlátlan;Net 5GB;LAK
314;0;2015-08-02;Lakossági Hang M;Korlátlan Net;LAK
315;0;2021-05-24;Lakossági Hang M;Korlátlan Net;LAK
316;0;2021-09-15;Lakossági Hang M;Korlátlan Net;LAK
317;0;2012-02-25;Lakossági Hang M;Net 3GB;LAK
318;0;2012-02-19;Lakossági Hang XS;Korlátlan Net;LAK
319;0;2011-03-02;Lakossági Hang XS;Net 5GB;LAK
320;0;2014-07-11;Lakossági Hang Korlátlan;Net 3GB;LAK
321;0;2019-02-06;Lakossági Hang Korlátlan;Korlátlan Net;LAK
322;0;2022-10-02;Lakossági Hang XS;Korlátlan Net;LAK
323;0;2014-11-04;Lakossági Hang M;Korlátlan Net;LAK
324;0;2017-10-04;Lakossági Hang M;Net 5GB;LAK
325;0;2012-04-24;Lakossági Hang Korlátlan;Net 3GB;LAK
326;0;2017-06-19;Lakossági Hang M;Net 5GB;LAK
327;0;2011-04-13;Lakossági Hang Korlátlan;Korlátlan Net;LAK
328;0;2013-05-20;Lakossági Hang XS;Net 5GB;LAK
329;0;2019-12-13;Lakossági Hang M;Net 3GB;LAK
330;0;2020-11-10;Lakossági Hang XS;Net 3GB;LAK
331;0;2020-10-02;Lakossági Hang Korlátlan;Korlátlan Net;LAK
332;0;2017-09-29;Lakossági Hang M;Korlátlan Net;LAK
333;0;2022-12-06;Lakossági Hang M;Net 5GB;LAK
334;0;2016-04-24;Lakossági Hang M;Net 5GB;LAK
335;0;2018-06-08;Üzleti Hang S;Vállalkozók Netje;ENT
336;0;2019-08-13;Lakossági Hang M;Korlátlan Net;LAK
337;0;2021-09-26;Üzleti Hang S;ÜzlNet Korlátlan;ENT
338;0;2012-11-14;Lakossági Hang Korlátlan;Net 5GB;LAK
339;0;2018-10-29;Lakossági Hang XS;Net 5GB;LAK
340;0;2012-11-15;Lakossági Hang M;Korlátlan Net;LAK
341;0;2014-12-18;Lakossági Hang XS;Korlátlan Net;LAK
342;0;2012-07-15;Lakossági Hang XS;Korlátlan Net;LAK
343;0;2014-07-02;Lakossági Hang M;Korlátlan Net;LAK
344;0;2022-01-11;Lakossági Hang Korlátlan;Net 3GB;LAK
345;0;2018-10-16;Lakossági Hang XS;Korlátlan Net;LAK
346;0;2016-11-17;Lakossági Hang M;Korlátlan Net;LAK
347;0;2012-06-27;Lakossági Hang Korlátlan;Korlátlan Net;LAK
348;0;2017-12-11;Üzleti Hang S;ÜzlNet Korlátlan;ENT
349;0;2017-11-04;Lakossági Hang Korlátlan;Korlátlan Net;LAK
350;0;2013-03-15;Lakossági Hang XS;Net 5GB;LAK
351;0;2022-01-19;Lakossági Hang M;Net 3GB;LAK
352;0;2015-07-03;Lakossági Hang M;Korlátlan Net;LAK
353;0;2022-01-09;Lakossági Hang Korlátlan;Net 3GB;LAK
354;0;2022-06-15;Lakossági Hang Korlátlan;Net 5GB;LAK
355;0;2017-10-18;Lakossági Hang M;Net 3GB;LAK
356;0;2022-04-16;Üzleti Hang M;ÜzlNet 2GB;ENT
357;0;2013-05-31;Lakossági Hang M;Net 3GB;LAK
358;0;2010-12-12;Lakossági Hang Korlátlan;Net 5GB;LAK
359;0;2013-06-01;Lakossági Hang XS;Korlátlan Net;LAK
360;0;2020-08-26;Lakossági Hang M;Net 5GB;LAK
361;0;2023-05-19;Lakossági Hang M;Net 3GB;LAK
362;0;2019-06-10;Lakossági Hang Korlátlan;Korlátlan Net;LAK
363;0;2010-03-26;Lakossági Hang XS;Korlátlan Net;LAK
364;0;2012-05-14;Lakossági Hang XS;Net 5GB;LAK
365;0;2022-02-08;Lakossági Hang Korlátlan;Net 3GB;LAK
366;0;2022-07-05;Lakossági Hang XS;Net 5GB;LAK
367;0;2019-11-02;Lakossági Hang Korlátlan;Net 5GB;LAK
368;0;2019-07-29;Lakossági Hang M;Net 5GB;LAK
369;0;2015-01-23;Üzleti Hang M;Vállalkozók Netje;ENT
370;0;2022-11-18;Lakossági Hang M;Korlátlan Net;LAK
371;0;2016-05-24;Lakossági Hang M;Net 5GB;LAK
372;0;2012-12-08;Lakossági Hang Korlátlan;Net 5GB;LAK
373;0;2020-06-14;Lakossági Hang M;Net 5GB;LAK
374;0;2014-10-14;Lakossági Hang Korlátlan;Korlátlan Net;LAK
375;0;2012-09-06;Lakossági Hang XS;Korlátlan Net;LAK
376;0;2017-04-28;Lakossági Hang M;Net 5GB;LAK
377;0;2018-10-11;Lakossági Hang XS;Net 5GB;LAK
378;0;2016-09-24;Lakossági Hang XS;Net 3GB;LAK
379;0;2021-10-27;Lakossági Hang XS;Net 5GB;LAK
380;0;2010-12-29;Lakossági Hang XS;Net 3GB;LAK
381;0;2020-12-17;Lakossági Hang XS;Korlátlan Net;LAK
382;0;2012-03-03;Lakossági Hang M;Net 5GB;LAK
383;0;2010-11-11;Lakossági Hang Korlátlan;Korlátlan Net;LAK
384;0;2013-01-14;Üzleti Hang M;ÜzlNet Korlátlan;ENT
385;0;2012-09-30;Lakossági Hang Korlátlan;Net 3GB;LAK
386;0;2010-10-30;Lakossági Hang M;Net 5GB;LAK
387;0;2016-11-04;Lakossági Hang M;Net 5GB;LAK
388;0;2019-05-01;Üzleti Hang M;ÜzlNet 2GB;ENT
389;0;2014-05-12;Lakossági Hang Korlátlan;Korlátlan Net;LAK
390;0;2019-09-20;Lakossági Hang Korlátlan;Net 3GB;LAK
391;0;2022-04-16;Lakossági Hang M;Net 3GB;LAK
